CD_RGINT,NM_RGINT,SIGLA_UF,ano,cultura,area_ha
1302,Tefé,AM,2011,cana,296
1302,Tefé,AM,2011,milho,3284
1302,Tefé,AM,2011,soja,0
1302,Tefé,AM,2012,algodao_arboreo,0
1302,Tefé,AM,2012,algodao_herbaceo,0
1302,Tefé,AM,2012,cana,381
1302,Tefé,AM,2012,milho,3443
1302,Tefé,AM,2012,soja,0
1302,Tefé,AM,2013,algodao_arboreo,0
1302,Tefé,AM,2013,algodao_herbaceo,0
1302,Tefé,AM,2013,cana,206
1302,Tefé,AM,2013,milho,3258
1302,Tefé,AM,2013,soja,0
1302,Tefé,AM,2014,algodao_arboreo,0
1302,Tefé,AM,2014,algodao_herbaceo,0
1302,Tefé,AM,2014,cana,239
1302,Tefé,AM,2014,milho,1605
1302,Tefé,AM,2014,soja,0
1302,Tefé,AM,2015,algodao_arboreo,0
1302,Tefé,AM,2015,algodao_herbaceo,0
1302,Tefé,AM,2015,cana,269
1302,Tefé,AM,2015,milho,1400
1302,Tefé,AM,2015,soja,0
1302,Tefé,AM,2016,algodao_arboreo,0
1302,Tefé,AM,2016,algodao_herbaceo,0
1302,Tefé,AM,2016,cana,106
1302,Tefé,AM,2016,milho,861
1302,Tefé,AM,2016,soja,0
1302,Tefé,AM,2017,algodao_arboreo,0
1302,Tefé,AM,2017,algodao_herbaceo,0
1302,Tefé,AM,2017,cana,162
1302,Tefé,AM,2017,milho,559
1302,Tefé,AM,2017,soja,0
1302,Tefé,AM,2018,algodao_arboreo,0
1302,Tefé,AM,2018,algodao_herbaceo,0
1302,Tefé,AM,2018,cana,346
1302,Tefé,AM,2018,milho,933
1302,Tefé,AM,2018,soja,0
1302,Tefé,AM,2019,algodao_arboreo,0
1302,Tefé,AM,2019,algodao_herbaceo,0
1302,Tefé,AM,2019,cana,250
1302,Tefé,AM,2019,milho,641
1302,Tefé,AM,2019,soja,0
1302,Tefé,AM,2020,algodao_arboreo,0
