periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,2 - Soja,2 - Soja,357940.39
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,273306.12
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,2 - Soja,2 - Soja,252659.48
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,216629.92
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,192085.53
2008_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,148694.64
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,6 - Outra agropecuária,6 - Outra agropecuária,138804.83
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,129219.1
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,91289.59
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,12 - Veg. sec. florestal,12 - Veg. sec. florestal,88542.44
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,12 - Veg. sec. florestal,12 - Veg. sec. florestal,86092.18
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,12 - Veg. sec. florestal,12 - Veg. sec. florestal,61165.13
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,55141.2
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,2 - Soja,2 - Soja,52737.37
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,6 - Outra agropecuária,6 - Outra agropecuária,46918.55
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,42380.32
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,38681.53
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,2 - Soja,2 - Soja,24510.17
2008_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,13510.86
2008_2024,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,11828.53
2008_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,11519.63
2008_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,10481.83
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,6 - Outra agropecuária,6 - Outra agropecuária,8933.36
2008_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,8132.24
2008_2024,12 - Veg. sec. florestal,12 - Veg. sec. florestal,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,3280.16
2008_2024,2 - Soja,2 - Soja,12 - Veg. sec. florestal,12 - Veg. sec. florestal,2785.18
